no_keluarga,jumlah_indikator,kecamatan,kelurahan,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,jenis_kelamin,status_kawin,umur,ijazah_tertinggi,status_pekerjaan,jenis_lantai,jenis_dinding,jenis_atap,sumber_penerangan,daya_listrik,fasilitas_bab,sumber_air,bahan_bakar,bantuan_sembako,bantuan_pkh,bantuan_blt,subsidi_listrik,subsidi_lpg,bantuan_pemda,bantuan_non_pemerintah,jenis_disabilitas,butuh_pangan,butuh_sandang,butuh_kesehatan,butuh_pendidikan,butuh_dokumen,status_keluarga
1,4,bontang_selatan,berbas_tengah,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,1,2,56,1,1,5,5,3,1,1,1,03,04,1,2,2,1,1,1,2,0,1,1,0,0,0,4
3,3,bontang_selatan,berbas_pantai,Tidak,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,2,4,55,2,1,7,5,3,1,2,1,02,04,1,2,2,2,2,2,2,0,2,2,0,0,0,2
3,3,bontang_selatan,berbas_pantai,Tidak,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,1,1,28,3,3,7,5,3,1,2,1,02,04,1,2,2,2,2,2,2,0,2,2,0,0,0,2
3,3,bontang_selatan,berbas_pantai,Tidak,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,1,1,26,3,4,7,5,3,1,2,1,02,04,1,2,2,2,2,2,2,0,2,2,0,0,0,2
3,4,bontang_selatan,berbas_pantai,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,2,1,23,3,4,7,5,3,1,2,1,02,04,1,2,2,2,2,2,2,0,2,2,0,0,0,2
4,3,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,1,2,47,2,4,2,1,3,1,1,1,02,04,2,2,2,1,2,2,1,0,2,1,0,0,0,3
4,3,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,2,2,44,1,4,2,1,3,1,1,1,02,04,2,2,2,1,2,2,1,0,2,1,0,0,0,3
4,2,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Memenuhi Kriteria,2,1,19,3,4,2,1,3,1,1,1,02,04,2,2,2,1,2,2,1,0,2,1,0,0,0,3
5,3,bontang_utara,bontang_baru,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,4,58,2,,2,3,3,1,2,1,02,05,1,1,2,1,2,1,2,0,1,1,1,0,0,2
6,2,bontang_barat,belimbing,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,1,2,56,3,1,2,1,4,1,2,1,04,04,2,2,2,1,2,1,1,0,2,2,0,0,0,5
6,2,bontang_barat,belimbing,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,2,51,3,1,2,1,4,1,2,1,04,04,2,2,2,1,2,1,1,0,2,2,0,0,0,5
6,2,bontang_barat,belimbing,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,1,25,3,,2,1,4,1,2,1,04,04,2,2,2,1,2,1,1,0,2,2,0,0,0,5
6,2,bontang_barat,belimbing,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,4,60,3,,2,1,4,1,2,1,04,04,2,2,2,1,2,1,1,0,2,2,0,0,0,5
7,3,bontang_barat,gunung_telihan,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,1,2,25,3,4,2,1,3,1,1,1,02,04,2,2,2,2,2,2,2,0,2,1,0,0,4,3
7,3,bontang_barat,gunung_telihan,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,2,2,28,2,,2,1,3,1,1,1,02,04,2,2,2,2,2,2,2,0,2,1,0,0,4,3
7,3,bontang_barat,gunung_telihan,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Memenuhi Kriteria,2,1,7,,,2,1,3,1,1,1,02,04,2,2,2,2,2,2,2,0,2,1,0,5,0,3
8,1,bontang_barat,gunung_telihan,Tidak ada nama Kepala Keluarga,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,1,19,3,,2,1,2,1,2,1,02,05,2,2,2,2,2,2,2,0,2,2,0,0,0,3
10,3,bontang_barat,kanaan,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,2,4,63,1,1,5,5,3,1,2,1,02,05,2,2,2,2,2,2,2,0,1,2,0,0,0,3
11,1,bontang_utara,lok tuan,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,4,58,1,,2,1,3,1,2,1,03,04,2,2,1,1,1,1,2,0,2,2,0,0,0,2
12,2,bontang_selatan,berbas_pantai,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,1,2,62,3,,2,3,3,1,2,1,03,04,1,2,2,1,1,1,2,0,1,1,0,0,0,2
12,2,bontang_selatan,berbas_pantai,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,2,40,3,,2,3,3,1,2,1,03,04,1,2,2,1,1,1,2,0,1,1,0,0,0,2
12,2,bontang_selatan,berbas_pantai,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,1,12,,,2,3,3,1,2,1,03,04,1,2,2,1,1,1,2,0,1,1,1,5,0,2
13,2,bontang_selatan,berbas_tengah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,1,2,43,1,1,5,7,3,1,2,1,02,04,1,2,2,1,1,1,2,0,1,1,0,0,0,2
13,2,bontang_selatan,berbas_tengah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,2,2,41,1,1,5,7,3,1,2,1,02,04,1,2,2,1,1,1,2,0,1,1,0,0,0,2
13,2,bontang_selatan,berbas_tengah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,1,1,21,3,,5,7,3,1,2,1,02,04,1,2,2,1,1,1,2,0,1,1,0,0,0,2
14,4,bontang_utara,bontang_baru,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,4,73,1,,2,1,3,1,2,1,02,05,2,2,2,2,2,2,2,0,1,1,0,0,0,3
15,3,bontang_selatan,berbas_tengah,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,2,2,65,8,,5,7,3,1,2,1,02,04,2,2,2,1,1,2,2,0,1,1,0,0,0,3
16,2,bontang_barat,kanaan,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,2,64,1,,2,1,4,1,4,1,02,05,2,2,1,2,2,2,2,0,1,2,0,0,0,4
16,2,bontang_barat,kanaan,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,1,2,66,2,,2,1,4,1,4,1,02,05,2,2,1,2,2,2,2,0,1,2,0,0,0,4
16,2,bontang_barat,kanaan,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,1,21,,,2,1,4,1,4,1,02,05,2,2,1,2,2,2,2,0,1,2,0,0,0,4
17,1,bontang_selatan,tanjung_laut,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,3,67,1,1,2,1,3,1,2,1,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
17,2,bontang_selatan,tanjung_laut,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,1,1,21,,,2,1,3,1,2,1,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
18,5,bontang_utara,bontang_baru,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,1,2,33,1,4,6,3,3,2,0,2,04,04,1,2,2,1,1,2,1,0,2,2,0,0,0,2
